2021-04-02 23:33:18,751 Generated bitstream: 1001111110000100001110001101100110100101111011010110001101010011110101111100010110001111100101010010
2021-04-02 23:33:18,752 Starting Transmission
2021-04-02 23:33:18,859 Transmitted: 1
2021-04-02 23:33:18,894 Transmitted: 0
2021-04-02 23:33:18,929 Transmitted: 0
2021-04-02 23:33:18,966 Transmitted: 1
2021-04-02 23:33:19,000 Transmitted: 1
2021-04-02 23:33:19,035 Transmitted: 1
2021-04-02 23:33:19,071 Transmitted: 1
2021-04-02 23:33:19,105 Transmitted: 1
2021-04-02 23:33:19,140 Transmitted: 1
2021-04-02 23:33:19,176 Transmitted: 0
2021-04-02 23:33:19,211 Transmitted: 0
2021-04-02 23:33:19,246 Transmitted: 0
2021-04-02 23:33:19,282 Transmitted: 0
2021-04-02 23:33:19,316 Transmitted: 1
2021-04-02 23:33:19,351 Transmitted: 0
2021-04-02 23:33:19,386 Transmitted: 0
2021-04-02 23:33:19,421 Transmitted: 0
2021-04-02 23:33:19,456 Transmitted: 0
2021-04-02 23:33:19,492 Transmitted: 1
2021-04-02 23:33:19,526 Transmitted: 1
2021-04-02 23:33:19,560 Transmitted: 1
2021-04-02 23:33:19,596 Transmitted: 0
2021-04-02 23:33:19,630 Transmitted: 0
2021-04-02 23:33:19,664 Transmitted: 0
2021-04-02 23:33:19,700 Transmitted: 1
2021-04-02 23:33:19,734 Transmitted: 1
2021-04-02 23:33:19,768 Transmitted: 0
2021-04-02 23:33:19,804 Transmitted: 1
2021-04-02 23:33:19,839 Transmitted: 1
2021-04-02 23:33:19,873 Transmitted: 0
2021-04-02 23:33:19,909 Transmitted: 0
2021-04-02 23:33:19,944 Transmitted: 1
2021-04-02 23:33:19,978 Transmitted: 1
2021-04-02 23:33:20,014 Transmitted: 0
2021-04-02 23:33:20,049 Transmitted: 1
2021-04-02 23:33:20,083 Transmitted: 0
2021-04-02 23:33:20,119 Transmitted: 0
2021-04-02 23:33:20,154 Transmitted: 1
2021-04-02 23:33:20,189 Transmitted: 0
2021-04-02 23:33:20,225 Transmitted: 1
2021-04-02 23:33:20,260 Transmitted: 1
2021-04-02 23:33:20,294 Transmitted: 1
2021-04-02 23:33:20,330 Transmitted: 1
2021-04-02 23:33:20,364 Transmitted: 0
2021-04-02 23:33:20,399 Transmitted: 1
2021-04-02 23:33:20,435 Transmitted: 1
2021-04-02 23:33:20,469 Transmitted: 0
2021-04-02 23:33:20,504 Transmitted: 1
2021-04-02 23:33:20,539 Transmitted: 0
2021-04-02 23:33:20,574 Transmitted: 1
2021-04-02 23:33:20,608 Transmitted: 1
